symbol,name,market_code,asset_class,currency,tick_size,lot_size
88980,맥쿼리인프라,KRX,kr_stock,KRW,100,1
18880,한온시스템,KRX,kr_stock,KRW,100,1
2380,KCC,KRX,kr_stock,KRW,100,1
4170,신세계,KRX,kr_stock,KRW,100,1
23530,롯데쇼핑,KRX,kr_stock,KRW,100,1
450080,에코프로머티,KRX,kr_stock,KRW,100,1
175330,JB금융지주,KRX,kr_stock,KRW,100,1
88350,한화생명,KRX,kr_stock,KRW,100,1
51900,LG생활건강,KRX,kr_stock,KRW,100,1
4800,효성,KRX,kr_stock,KRW,100,1
489790,한화비전,KRX,kr_stock,KRW,100,1
11170,롯데케미칼,KRX,kr_stock,KRW,100,1
14680,한솔케미칼,KRX,kr_stock,KRW,100,1
11780,금호석유화학,KRX,kr_stock,KRW,100,1
12510,더존비즈온,KRX,kr_stock,KRW,100,1
17800,현대엘리베이터,KRX,kr_stock,KRW,100,1
251270,넷마블,KRX,kr_stock,KRW,100,1
111770,영원무역,KRX,kr_stock,KRW,100,1
20150,롯데에너지머티리얼즈,KRX,kr_stock,KRW,100,1
36460,한국가스공사,KRX,kr_stock,KRW,100,1
35250,강원랜드,KRX,kr_stock,KRW,100,1
97950,CJ제일제당,KRX,kr_stock,KRW,100,1
302440,SK바이오사이언스,KRX,kr_stock,KRW,100,1
375500,DL이앤씨,KRX,kr_stock,KRW,100,1
457190,이수스페셜티케미컬,KRX,kr_stock,KRW,100,1
139480,이마트,KRX,kr_stock,KRW,100,1
28670,팬오션,KRX,kr_stock,KRW,100,1
31210,서울보증보험,KRX,kr_stock,KRW,100,1
483650,달바글로벌,KRX,kr_stock,KRW,100,1
383220,F&F,KRX,kr_stock,KRW,100,1
5850,에스엘,KRX,kr_stock,KRW,100,1
1720,신영증권,KRX,kr_stock,KRW,100,1
139130,iM금융지주,KRX,kr_stock,KRW,100,1
6360,GS건설,KRX,kr_stock,KRW,100,1
204320,HL만도,KRX,kr_stock,KRW,100,1
4990,롯데지주,KRX,kr_stock,KRW,100,1
12750,에스원,KRX,kr_stock,KRW,100,1
71970,HD현대마린엔진,KRX,kr_stock,KRW,100,1
7340,DN오토모티브,KRX,kr_stock,KRW,100,1
439260,대한조선,KRX,kr_stock,KRW,100,1
229640,LS에코에너지,KRX,kr_stock,KRW,100,1
1450,현대해상,KRX,kr_stock,KRW,100,1
9970,영원무역홀딩스,KRX,kr_stock,KRW,100,1
322000,HD현대에너지솔루션,KRX,kr_stock,KRW,100,1
00680K,미래에셋증권2우B,KRX,kr_stock,KRW,100,1
69960,현대백화점,KRX,kr_stock,KRW,100,1
155,두산우,KRX,kr_stock,KRW,100,1
11210,현대위아,KRX,kr_stock,KRW,100,1
120110,코오롱인더,KRX,kr_stock,KRW,100,1
18670,SK가스,KRX,kr_stock,KRW,100,1
103140,풍산,KRX,kr_stock,KRW,100,1
1430,세아베스틸지주,KRX,kr_stock,KRW,100,1
8770,호텔신라,KRX,kr_stock,KRW,100,1
26960,동서,KRX,kr_stock,KRW,100,1
51600,한전KPS,KRX,kr_stock,KRW,100,1
282330,BGF리테일,KRX,kr_stock,KRW,100,1
9420,한올바이오파마,KRX,kr_stock,KRW,100,1
8930,한미사이언스,KRX,kr_stock,KRW,100,1
7070,GS리테일,KRX,kr_stock,KRW,100,1
5440,현대지에프홀딩스,KRX,kr_stock,KRW,100,1
161890,한국콜마,KRX,kr_stock,KRW,100,1
4370,농심,KRX,kr_stock,KRW,100,1
7810,코리아써키트,KRX,kr_stock,KRW,100,1
112610,씨에스윈드,KRX,kr_stock,KRW,100,1
240,한국앤컴퍼니,KRX,kr_stock,KRW,100,1
279570,케이뱅크,KRX,kr_stock,KRW,100,1
30000,제일기획,KRX,kr_stock,KRW,100,1
97230,HJ중공업,KRX,kr_stock,KRW,100,1
192820,코스맥스,KRX,kr_stock,KRW,100,1
120,CJ대한통운,KRX,kr_stock,KRW,100,1
3690,코리안리,KRX,kr_stock,KRW,100,1
17960,한국카본,KRX,kr_stock,KRW,100,1
2790,아모레퍼시픽홀딩스,KRX,kr_stock,KRW,100,1
81660,미스토홀딩스,KRX,kr_stock,KRW,100,1
298020,효성티앤씨,KRX,kr_stock,KRW,100,1
