instrument_id,symbol,name,market_code,asset_class,currency,tick_size,lot_size,is_tradable,is_active
5bd2d75c-7d08-4e81-988e-c1fa057f0176,071050,한국금융지주,KRX,kr_stock,KRW,100,1,TRUE,TRUE
25c0a760-5abe-4200-ab8f-e75d070284e2,003490,대한항공,KRX,kr_stock,KRW,100,1,TRUE,TRUE
ce1cd8ae-ccc6-4248-915c-df0baebe8551,012450,한화에어로스페이스,KRX,kr_stock,KRW,100,1,TRUE,TRUE
622ec7a7-2b4a-4ac5-9a8f-27cccf0b864b,000880,한화,KRX,kr_stock,KRW,100,1,TRUE,TRUE
14f11449-813a-4863-917e-83b2645c61f3,009830,한화솔루션,KRX,kr_stock,KRW,100,1,TRUE,TRUE
ddd7ea49-ec57-4d14-ab5f-53667c9078a0,000150,두산,KRX,kr_stock,KRW,100,1,TRUE,TRUE
49d60421-a815-4d2e-b834-33965734791f,034020,두산에너빌리티,KRX,kr_stock,KRW,100,1,TRUE,TRUE
e1511189-3005-447e-9dec-7ae5e0970bae,021240,코웨이,KRX,kr_stock,KRW,100,1,TRUE,TRUE
3fc29c08-a6b4-4004-914e-3ba6595c02c0,032640,LG유플러스,KRX,kr_stock,KRW,100,1,TRUE,TRUE
2eecf582-8ca3-4a7d-a117-114efc0d5ac8,004170,신세계,KRX,kr_stock,KRW,100,1,TRUE,TRUE
1554c100-995b-430a-8bfc-81154b453ec0,007070,GS리테일,KRX,kr_stock,KRW,100,1,TRUE,TRUE
62f83a92-15b8-4d4c-a8f8-80cdb8f6dcd0,002380,KCC,KRX,kr_stock,KRW,100,1,TRUE,TRUE
744f084c-1d4c-4341-a3e3-fc694ed4f7ba,042660,한화오션,KRX,kr_stock,KRW,100,1,TRUE,TRUE
e599038a-9439-4120-be88-2cfc943f3927,001450,현대해상,KRX,kr_stock,KRW,100,1,TRUE,TRUE
827d1eac-4988-4b3f-a754-2158674ea6e6,005830,DB손해보험,KRX,kr_stock,KRW,100,1,TRUE,TRUE
817b7fbe-ebf8-4c97-a158-907ede965d5a,006800,미래에셋증권,KRX,kr_stock,KRW,100,1,TRUE,TRUE
31ef2b62-114c-4d51-a1d9-6391a8cec36e,000210,DL,KRX,kr_stock,KRW,100,1,TRUE,TRUE
500c0abb-1360-45cb-b3bc-25182a5097d7,001800,오리온,KRX,kr_stock,KRW,100,1,TRUE,TRUE
13ff7844-c9ef-40df-a78a-a7962b7c1ab0,097950,CJ제일제당,KRX,kr_stock,KRW,100,1,TRUE,TRUE
7a835e49-0c76-4b15-8d75-c2d4fab51d84,004370,농심,KRX,kr_stock,KRW,100,1,TRUE,TRUE
b4cb4c87-9832-4740-9c27-b1b3ea02c8c3,005935,삼성전자우,KRX,kr_stock,KRW,100,1,TRUE,TRUE
05d70046-06bd-4973-af8f-b906df92863b,247540,에코프로비엠,KRX,kr_stock,KRW,100,1,TRUE,TRUE
6c6b2ac8-09d7-4669-9992-6d3d1391349f,272210,한화시스템,KRX,kr_stock,KRW,100,1,TRUE,TRUE
911d6181-4575-4277-bc68-dc8f83222916,001440,대한전선,KRX,kr_stock,KRW,100,1,TRUE,TRUE
bfbf19e1-1ca7-4f35-b52b-f80432c0c068,010060,OCI홀딩스,KRX,kr_stock,KRW,100,1,TRUE,TRUE
12ac3c90-a535-421f-84d1-449c97e41031,020150,일진하이솔루스,KRX,kr_stock,KRW,100,1,TRUE,TRUE
1d33861a-66f0-4ace-a0b0-fa64bb552580,352820,하이브,KRX,kr_stock,KRW,100,1,TRUE,TRUE
31e61fc7-5360-4bf3-9c6b-f2f57a8a5c83,298020,효성티앤씨,KRX,kr_stock,KRW,100,1,TRUE,TRUE
39d40f88-2de3-4941-861c-3656993fc7ec,298040,효성중공업,KRX,kr_stock,KRW,100,1,TRUE,TRUE
aa8cb434-3c04-40df-a9cf-af9bbbc82d51,298050,효성첨단소재,KRX,kr_stock,KRW,100,1,TRUE,TRUE
abb833ca-0cbc-4b32-9687-9ab267848485,004800,효성,KRX,kr_stock,KRW,100,1,TRUE,TRUE
a086399a-50dd-4d13-9acb-36fcb67cfa6b,001740,SK네트웍스,KRX,kr_stock,KRW,100,1,TRUE,TRUE
b526bc55-2bf5-42b5-b709-4c28113088d8,006360,GS건설,KRX,kr_stock,KRW,100,1,TRUE,TRUE
39f964db-fec8-4d4e-9a8f-3d35d6b3147b,039130,하나투어,KRX,kr_stock,KRW,100,1,TRUE,TRUE
feefb6d5-e6aa-480a-8569-67ab7bd2e942,023530,롯데쇼핑,KRX,kr_stock,KRW,100,1,TRUE,TRUE
78a521e9-3fb1-4310-8a96-06d1e81d3a2b,008770,호텔신라,KRX,kr_stock,KRW,100,1,TRUE,TRUE
6f3a57ea-2fe6-4565-bcbe-4dc53dce2c7d,003410,쌍용C&E,KRX,kr_stock,KRW,100,1,TRUE,TRUE
7c964c0c-264b-4b8f-832b-645b14f7a59b,000990,DB하이텍,KRX,kr_stock,KRW,100,1,TRUE,TRUE
40c1b08b-5aa2-4ef6-8619-33f2e464465e,011790,SKC,KRX,kr_stock,KRW,100,1,TRUE,TRUE
