code,name,market,is_kospi200
279570,케이뱅크,KOSPI,False
030000,제일기획,KOSPI,True
097230,HJ중공업,KOSPI,False
192820,코스맥스,KOSPI,True
000120,CJ대한통운,KOSPI,True
003690,코리안리,KOSPI,False
017960,한국카본,KOSPI,True
002790,아모레퍼시픽홀딩스,KOSPI,True
081660,미스토홀딩스,KOSPI,True
298020,효성티앤씨,KOSPI,True
085620,미래에셋생명,KOSPI,False
361610,SK아이이테크놀로지,KOSPI,True
023590,다우기술,KOSPI,False
077970,STX엔진,KOSPI,False
005070,코스모신소재,KOSPI,False
462870,시프트업,KOSPI,False
001120,LX인터내셔널,KOSPI,False
003540,대신증권,KOSPI,False
475150,SK이터닉스,KOSPI,False
395400,SK리츠,KOSPI,False
006040,동원산업,KOSPI,True
006280,녹십자,KOSPI,True
003570,SNT다이내믹스,KOSPI,False
069620,대웅제약,KOSPI,True
020560,아시아나항공,KOSPI,False
281820,케이씨텍,KOSPI,False
030610,교보증권,KOSPI,False
001740,SK네트웍스,KOSPI,False
032350,롯데관광개발,KOSPI,False
003530,한화투자증권,KOSPI,False
001800,오리온홀딩스,KOSPI,True
294870,IPARK현대산업개발,KOSPI,False
004000,롯데정밀화학,KOSPI,True
195870,해성디에스,KOSPI,False
073240,금호타이어,KOSPI,True
034230,파라다이스,KOSPI,True
093370,후성,KOSPI,True
007310,오뚜기,KOSPI,True
006110,삼아알미늄,KOSPI,False
012630,HDC,KOSPI,False
066575,LG전자우,KOSPI,False
051915,LG화학우,KOSPI,False
000210,DL,KOSPI,True
100090,SK오션플랜트,KOSPI,False
003470,유안타증권,KOSPI,False
082640,동양생명,KOSPI,False
090460,비에이치,KOSPI,False
192080,더블유게임즈,KOSPI,True
003090,대웅,KOSPI,True
181710,NHN,KOSPI,False
300720,한일시멘트,KOSPI,True
456040,OCI,KOSPI,False
006340,대원전선,KOSPI,False
415640,KB발해인프라,KOSPI,False
000080,하이트진로,KOSPI,True
003240,태광산업,KOSPI,True
089860,롯데렌탈,KOSPI,False
000670,영풍,KOSPI,True
330590,롯데리츠,KOSPI,False
000815,삼성화재우,KOSPI,False
009450,경동나비엔,KOSPI,False
185750,종근당,KOSPI,True
009155,삼성전기우,KOSPI,False
280360,롯데웰푸드,KOSPI,True
005300,롯데칠성,KOSPI,True
005690,파미셀,KOSPI,False
499790,GS피앤엘,KOSPI,False
298050,HS효성첨단소재,KOSPI,True
365550,ESR켄달스퀘어리츠,KOSPI,False
057050,현대홈쇼핑,KOSPI,False
248070,솔루엠,KOSPI,False
108320,LX세미콘,KOSPI,False
001510,SK증권,KOSPI,False
033240,자화전자,KOSPI,False
071055,한국금융지주우,KOSPI,False
100840,SNT에너지,KOSPI,False
137310,에스디바이오센서,KOSPI,True
192400,쿠쿠홀딩스,KOSPI,False
075580,세진중공업,KOSPI,False
00088K,한화3우B,KOSPI,False
451800,한화리츠,KOSPI,False
006650,대한유화,KOSPI,True
006120,SK디스커버리,KOSPI,False
484870,엠앤씨솔루션,KOSPI,False
079900,전진건설로봇,KOSPI,False
002020,코오롱,KOSPI,False
003160,디아이,KOSPI,False
025540,한국단자,KOSPI,False
285130,SK케미칼,KOSPI,True
071320,지역난방공사,KOSPI,True
178920,PI첨단소재,KOSPI,False
010780,아이에스동서,KOSPI,False
036530,SNT홀딩스,KOSPI,False
064960,SNT모티브,KOSPI,False
004490,세방전지,KOSPI,True
009240,한샘,KOSPI,True
003850,보령,KOSPI,False
336370,솔루스첨단소재,KOSPI,False
030190,NICE평가정보,KOSPI,False
005880,대한해운,KOSPI,False
079160,CJ CGV,KOSPI,False
011930,신성이엔지,KOSPI,False
214320,이노션,KOSPI,False
000370,한화손해보험,KOSPI,False
003620,KG모빌리티,KOSPI,False
005250,녹십자홀딩스,KOSPI,True
00104K,CJ4우(전환),KOSPI,False
003030,세아제강지주,KOSPI,True
114090,GKL,KOSPI,True
317450,명인제약,KOSPI,False
001270,부국증권,KOSPI,False
014820,동원시스템즈,KOSPI,True
005090,SGC에너지,KOSPI,False
093050,LF,KOSPI,False
001680,대상,KOSPI,True
249420,일동제약,KOSPI,False
001060,JW중외제약,KOSPI,False
069260,TKG휴켐스,KOSPI,True
007700,F&F홀딩스,KOSPI,False
016380,KG스틸,KOSPI,False
161000,애경케미칼,KOSPI,False
001500,현대차증권,KOSPI,False
001820,삼화콘덴서,KOSPI,False
015860,일진홀딩스,KOSPI,False
017940,E1,KOSPI,False
017900,광전자,KOSPI,False
005180,빙그레,KOSPI,False
002350,넥센타이어,KOSPI,False
460860,동국제강,KOSPI,False
293940,신한알파리츠,KOSPI,False
002840,미원상사,KOSPI,True
003280,흥아해운,KOSPI,False
383800,LX홀딩스,KOSPI,False
058650,세아홀딩스,KOSPI,False
000640,동아쏘시오홀딩스,KOSPI,False
000400,롯데손해보험,KOSPI,False
452260,한화갤러리아,KOSPI,False
005389,현대차3우B,KOSPI,False
001570,금양,KOSPI,False
001530,DI동일,KOSPI,False
217590,티엠씨,KOSPI,False
002960,한국쉘석유,KOSPI,False
005810,풍산홀딩스,KOSPI,False
020000,한섬,KOSPI,False
039130,하나투어,KOSPI,False
009900,명신산업,KOSPI,False
006380,카프로,KOSPI,False
005420,코스모화학,KOSPI,True
008060,대덕,KOSPI,False
001200,유진투자증권,KOSPI,False
453340,현대그린푸드,KOSPI,False
008730,율촌화학,KOSPI,True
002240,고려제강,KOSPI,False
010820,퍼스텍,KOSPI,False
019170,신풍제약,KOSPI,False
271940,일진하이솔루스,KOSPI,False
031430,신세계인터내셔날,KOSPI,False
403550,쏘카,KOSPI,False
016610,DB증권,KOSPI,False
003000,부광약품,KOSPI,False
003545,대신증권우,KOSPI,False
284740,쿠쿠홈시스,KOSPI,False
014830,유니드,KOSPI,False
003300,한일홀딩스,KOSPI,False
009410,태영건설,KOSPI,False
268280,미원에스씨,KOSPI,True
130660,한전산업,KOSPI,False
377740,바이오노트,KOSPI,False
094800,맵스리얼티,KOSPI,False
010690,화신,KOSPI,False
0120G0,삼양바이오팜,KOSPI,False
005945,NH투자증권우,KOSPI,False
006405,삼성SDI우,KOSPI,False
448730,삼성FN리츠,KOSPI,False
000157,두산2우B,KOSPI,False
004690,삼천리,KOSPI,False
381970,케이카,KOSPI,False
000070,삼양홀딩스,KOSPI,False
034310,NICE,KOSPI,False
092790,넥스틸,KOSPI,False
016590,신대양제지,KOSPI,False
027410,BGF,KOSPI,False
090435,아모레퍼시픽우,KOSPI,False
950210,프레스티지바이오파마,KOSPI,False
145990,삼양사,KOSPI,False
145720,덴티움,KOSPI,False
002710,TCC스틸,KOSPI,False
306200,세아제강,KOSPI,False
015360,INVENI,KOSPI,False
105840,우진,KOSPI,False
029530,신도리코,KOSPI,False
012030,DB,KOSPI,False
002030,아세아,KOSPI,True
006220,제주은행,KOSPI,False
192650,드림텍,KOSPI,False
025860,남해화학,KOSPI,False
004710,한솔테크닉스,KOSPI,False
029460,케이씨,KOSPI,False
058430,포스코스틸리온,KOSPI,False
072710,농심홀딩스,KOSPI,False
126720,수산인더스트리,KOSPI,False
357120,코람코라이프인프라리츠,KOSPI,False
017810,풀무원,KOSPI,False
009160,SIMPAC,KOSPI,False
344820,KCC글라스,KOSPI,False
060980,HL홀딩스,KOSPI,False
000650,천일고속,KOSPI,False
003720,삼영,KOSPI,False
004700,조광피혁,KOSPI,False
105630,한세실업,KOSPI,False
170900,동아에스티,KOSPI,False
097520,엠씨넥스,KOSPI,False
078520,에이블씨엔씨,KOSPI,False
089590,제주항공,KOSPI,False
417310,코람코더원리츠,KOSPI,False
005610,삼립,KOSPI,False
002810,삼영무역,KOSPI,False
183190,아세아시멘트,KOSPI,False
194370,제이에스코퍼레이션,KOSPI,False
009290,광동제약,KOSPI,False
084010,대한제강,KOSPI,False
034830,한국토지신탁,KOSPI,False
011760,현대코퍼레이션,KOSPI,False
