symbol,name,market_code,asset_class,currency,tick_size,lot_size,is_active
454910,두산로보틱스,KRX,kr_stock,KRW,100,1,TRUE
241560,두산밥캣,KRX,kr_stock,KRW,100,1,TRUE
021240,코웨이,KRX,kr_stock,KRW,100,1,TRUE
010060,OCI홀딩스,KRX,kr_stock,KRW,100,1,TRUE
005385,현대차우,KRX,kr_stock,KRW,100,1,TRUE
000500,가온전선,KRX,kr_stock,KRW,100,1,TRUE
082740,한화엔진,KRX,kr_stock,KRW,100,1,TRUE
103590,일진전기,KRX,kr_stock,KRW,100,1,TRUE
001040,CJ,KRX,kr_stock,KRW,100,1,TRUE
004020,현대제철,KRX,kr_stock,KRW,100,1,TRUE
336260,두산퓨얼셀,KRX,kr_stock,KRW,100,1,TRUE
036570,NC,KRX,kr_stock,KRW,100,1,TRUE
052690,한전기술,KRX,kr_stock,KRW,100,1,TRUE
029780,삼성카드,KRX,kr_stock,KRW,100,1,TRUE
128940,한미약품,KRX,kr_stock,KRW,100,1,TRUE
271560,오리온,KRX,kr_stock,KRW,100,1,TRUE
011790,SKC,KRX,kr_stock,KRW,100,1,TRUE
138930,BNK금융지주,KRX,kr_stock,KRW,100,1,TRUE
022100,포스코DX,KRX,kr_stock,KRW,100,1,TRUE
088980,맥쿼리인프라,KRX,kr_stock,KRW,100,1,TRUE
018880,한온시스템,KRX,kr_stock,KRW,100,1,TRUE
002380,KCC,KRX,kr_stock,KRW,100,1,TRUE
004170,신세계,KRX,kr_stock,KRW,100,1,TRUE
023530,롯데쇼핑,KRX,kr_stock,KRW,100,1,TRUE
450080,에코프로머티,KRX,kr_stock,KRW,100,1,TRUE
175330,JB금융지주,KRX,kr_stock,KRW,100,1,TRUE
088350,한화생명,KRX,kr_stock,KRW,100,1,TRUE
051900,LG생활건강,KRX,kr_stock,KRW,100,1,TRUE
004800,효성,KRX,kr_stock,KRW,100,1,TRUE
489790,한화비전,KRX,kr_stock,KRW,100,1,TRUE
