symbol,membership_code
006260,KOSPI200
000880,KOSPI200
267270,KOSPI200
064400,KOSPI200
007660,KOSPI200
175330,KOSPI200
047040,KOSPI200
062040,KOSPI200
001440,KOSPI200
138930,KOSPI200
004170,KOSPI200
111770,KOSPI200
088350,KOSPI200
052690,KOSPI200
000990,KOSPI200
001040,KOSPI200
002380,KOSPI200
023530,KOSPI200
010060,KOSPI200
018880,KOSPI200
383220,KOSPI200
066970,KOSPI200
082740,KOSPI200
028670,KOSPI200
001450,KOSPI200
011780,KOSPI200
097950,KOSPI200
026960,KOSPI200
069960,KOSPI200
081660,KOSPI200
139130,KOSPI200
000240,KOSPI200
004370,KOSPI200
005850,KOSPI200
007340,KOSPI200
008930,KOSPI200
009970,KOSPI200
012750,KOSPI200
017800,KOSPI200
483650,KOSPI200
282330,KOSPI200
014680,KOSPI200
030000,KOSPI200
051600,KOSPI200
073240,KOSPI200
103140,KOSPI200
139480,KOSPI200
161890,KOSPI200
192820,KOSPI200
204320,KOSPI200
002790,KOSPI200
004990,KOSPI200
007070,KOSPI200
009420,KOSPI200
375500,KOSPI200
000120,KOSPI200
001800,KOSPI200
006040,KOSPI200
006280,KOSPI200
007310,KOSPI200
008770,KOSPI200
011210,KOSPI200
069620,KOSPI200
071970,KOSPI200
112610,KOSPI200
120110,KOSPI200
192080,KOSPI200
298020,KOSPI200
457190,KOSPI200
000080,KOSPI200
000210,KOSPI200
361610,KOSPI200
300720,KOSPI200
280360,KOSPI200
185750,KOSPI200
137310,KOSPI200
093370,KOSPI200
071320,KOSPI200
034230,KOSPI200
017960,KOSPI200
009240,KOSPI200
005300,KOSPI200
004000,KOSPI200
003240,KOSPI200
001430,KOSPI200
003090,KOSPI200
008730,KOSPI200
006650,KOSPI200
005420,KOSPI200
069260,KOSPI200
298050,KOSPI200
268280,KOSPI200
456040,KOSPI200
003030,KOSPI200
002840,KOSPI200
002030,KOSPI200
001680,KOSPI200
285130,KOSPI200
000670,KOSPI200
014820,KOSPI200
